movieId,title,genres
1,Toy Story (1995),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']"
47,Seven (a.k.a. Se7en) (1995),"['Mystery', 'Thriller']"
50,"Usual Suspects, The (1995)","['Crime', 'Mystery', 'Thriller']"
110,Braveheart (1995),"['Action', 'Drama', 'War']"
150,Apollo 13 (1995),"['Adventure', 'Drama', 'IMAX']"
260,Star Wars: Episode IV - A New Hope (1977),"['Action', 'Adventure', 'Sci-Fi']"
296,Pulp Fiction (1994),"['Comedy', 'Crime', 'Drama', 'Thriller']"
318,"Shawshank Redemption, The (1994)","['Crime', 'Drama']"
356,Forrest Gump (1994),"['Comedy', 'Drama', 'Romance', 'War']"
480,Jurassic Park (1993),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
527,Schindler's List (1993),"['Drama', 'War']"
589,Terminator 2: Judgment Day (1991),"['Action', 'Sci-Fi']"
593,"Silence of the Lambs, The (1991)","['Crime', 'Horror', 'Thriller']"
780,Independence Day (a.k.a. ID4) (1996),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
1196,Star Wars: Episode V - The Empire Strikes Back (1980),"['Action', 'Adventure', 'Sci-Fi']"
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"['Action', 'Adventure']"
2571,"Matrix, The (1999)","['Action', 'Sci-Fi', 'Thriller']"
2858,American Beauty (1999),"['Drama', 'Romance']"
2959,Fight Club (1999),"['Action', 'Crime', 'Drama', 'Thriller']"
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)","['Adventure', 'Fantasy']"
